input_text,intent,subject,action,concept,split
Tell My dad to be careful.,alert,other,danger,none,train
She disagrees,statement,other,communicate,none,validation
He needs glorp,statement,other,need,unknown_concept,train
Your dad doesn't need medicine,statement,other,need,medicine,train
What were you doing earlier,question,you,do,none,test
I go to the bus.,statement,me,move,bus,train
Do You all want something,question,you,need,none,train
Your dad is walking,statement,other,do,none,train
Where's my bathroom? I need it.,request,me,need,bathroom,train
They said hello,statement,other,communicate,none,train
My dad is reading,statement,other,do,none,train
She is goin' to the home.,statement,other,move,home,train
"Um, i'm going to finish this.",statement,me,do,none,train
Keep going.,request,you,communicate,none,train
We're sad,statement,me,feel,sad,train
I'm getting really sad,statement,me,feel,sad,train
"So, i want to go to the train.",statement,me,move,train,train
Are you stretching?,question,you,do,none,train
My dad is cooking.,statement,other,do,none,train
Does My mom understand,question,other,communicate,none,validation
Are you sick,question,you,feel,sick,train
"Um, i really need something.",request,me,need,none,test
Do you need the soldering iron?,question,you,need,unknown_concept,validation
"Um, we want to go to the hospital.",statement,me,move,hospital,train
He's going to think about it,statement,other,do,none,train
"Okay, she isn't tired.",statement,other,feel,tired,train
"Um, is Your dad happy?",question,other,feel,happy,train
We're not going anywhere,statement,me,move,none,train
She doesn't need phone.,statement,other,need,phone,train
Are you knitting,question,you,do,none,train
It's almost time,statement,me,communicate,time,validation
Pass me the food,request,me,need,food,train
"Wait, don't cross yet.",alert,you,danger,none,train
you know my name?,question,you,communicate,name,train
I'm heading to the station,statement,me,move,unknown_concept,train
Are You guys gonna the office?,question,you,move,office,train
"Uh, go to the home.",request,you,move,home,train
"Uh, your dad doesn't need painkillers.",statement,other,need,painkillers,train
Are you reading?,question,you,do,none,test
"Um, do you want keys?",question,you,need,keys,test
Watch out for the florn.,alert,you,danger,unknown_concept,train
Could you grab my water?,request,you,need,water,train
"Uh, we need bathroom.",request,me,need,bathroom,train
She is heading to the train,statement,other,move,train,train
My dad is going to the restaurant.,statement,other,move,restaurant,train
Pass me the phone.,request,me,need,phone,test
D'you need me to repeat it?,question,you,communicate,none,test
I could use some painkillers.,request,me,need,painkillers,train
My mom is setting the table,statement,other,do,none,train
We're not sick.,statement,me,feel,sick,train
My mom is stretching,statement,other,do,none,train
D'you need snarple?,question,you,need,unknown_concept,test
There's a pole on your right.,alert,you,danger,pole,train
My dad needs bathroom,statement,other,need,bathroom,test
My dad is folding laundry,statement,other,do,none,train
"Um, give me hyperdrive.",request,me,need,unknown_concept,test
Does My mom need painkillers?,question,other,need,painkillers,train
I'm heading to the school,statement,me,move,school,train
You all are sad.,statement,you,feel,sad,train
There's a train ahead,alert,you,danger,train,train
I'm going to the market,statement,me,move,unknown_concept,train
I need my wallet.,request,me,need,wallet,train
Thrimble,statement,me,communicate,unknown_concept,train
Are you gonna quombat?,question,you,move,unknown_concept,train
Can you grab my keys?,request,you,need,keys,train
I need a sensor module,request,me,need,unknown_concept,train
"So, we're walking to the bus.",statement,me,move,bus,train
They is goin' to the bus.,statement,other,move,bus,train
She is sorting mail,statement,other,do,none,train
I don't need bathroom,statement,me,need,bathroom,train
The pole is very close.,alert,you,danger,pole,train
My dad is singing,statement,other,do,none,train
I need a second to think.,question,you,communicate,none,train
"Uh, you guys need food.",statement,you,need,food,train
Does He need painkillers?,question,other,need,painkillers,train
You all don't need phone.,statement,you,need,phone,train
You mopping?,question,you,do,none,train
"Excuse me, sorry",statement,me,communicate,none,train
We really need something,request,me,need,none,test
Your dad is going to the office,statement,other,move,office,train
"Me need phone, please.",request,me,need,phone,train
Let's talk later.,request,you,communicate,none,train
I'm heading to the salon,statement,me,move,unknown_concept,train
Are you showering,question,you,do,none,train
I'm gonna the observatory.,statement,me,move,unknown_concept,train
I go to the restaurant,statement,me,move,restaurant,train
He's going to start over,statement,other,do,none,train
Do You guys need water?,question,you,need,water,train
What is your time?,question,you,communicate,time,validation
They are sweeping.,statement,other,do,none,train
She is confused,statement,other,communicate,none,train
My mom is stretching.,statement,other,do,none,train
"Uh, where's my medicine? I need it.",request,me,need,medicine,train
You aren't sad.,statement,you,feel,sad,train
Nope.,statement,me,communicate,none,train
Do You all want keys?,question,you,need,keys,test
Me am not gonna the restaurant.,statement,me,move,restaurant,train
She is gonna the office.,statement,other,move,office,train
"Uh, do you need keys?",question,you,need,keys,train
"Um, my dad is heading to the hospital.",statement,other,move,hospital,train
I am gonna call you back.,statement,me,do,none,train
"Uh, we're going to the school.",statement,me,move,school,train
Go to the school,request,you,move,school,train
My mom is listening to something,statement,other,do,none,train
He is busy.,statement,other,do,none,train
Give me the microcontroller,request,me,need,unknown_concept,test
I'm starting to feel happy.,statement,me,feel,happy,train
I'm heading to the greenhouse.,statement,me,move,unknown_concept,train
I'm out of water,statement,me,need,water,train
I am going to go,statement,me,move,none,train
He's going to ask him,statement,other,do,none,train
You guys aren't happy.,statement,you,feel,happy,train
I'm not feeling well.,statement,me,feel,none,train
Me am heading to the train.,statement,me,move,train,train
Watch out for the fire.,alert,you,danger,fire,train
They are showering.,statement,other,do,none,train
"Okay, can you show me?",request,you,communicate,none,train
You all need keys.,statement,you,need,keys,train
My mom is heading to the hospital,statement,other,move,hospital,train
I need help.,request,me,communicate,none,train
I'm singing.,statement,me,do,none,train
My dad is writing,statement,other,do,none,train
"Um, do you mind if I ask something?",question,you,communicate,none,train
"Okay, can you introduce yourself?",request,you,communicate,none,train
They are cooking,statement,other,do,none,train
I'm shopping,statement,me,do,none,train
Does My mom need food,question,other,need,food,validation
Me am not going to the bus.,statement,me,move,bus,test
I am going to think about it.,statement,me,do,none,train
They need wallet,statement,other,need,wallet,train
She's gonna check something.,statement,other,do,none,train
Are you drawing,question,you,do,none,train
Watch your step,alert,you,danger,none,train
Are you going to the gym?,question,you,move,unknown_concept,train
"Okay, your dad is watching something.",statement,other,do,none,train
They is going to the bus.,statement,other,move,bus,train
D'you want bathroom?,question,you,need,bathroom,train
"Well, your dad is singing.",statement,other,do,none,train
Do you want wallet?,question,you,need,wallet,train
Your dad is heading to the bus,statement,other,move,bus,train
She needs phone.,statement,other,need,phone,train
Is They okay?,question,other,feel,none,train
"Okay, take me to the garden.",request,me,move,garden,train
You all don't need painkillers,statement,you,need,painkillers,train
Are we clear,question,you,communicate,none,train
Me don't need painkillers,statement,me,need,painkillers,validation
D'you need phone?,question,you,need,phone,train
I am going to finish this,statement,me,do,none,train
Could you fetch some food?,request,you,need,food,train
They need medicine,statement,other,need,medicine,train
Your dad is writing,statement,other,do,none,train
She's going to do this again,statement,other,do,none,train
"Uh, can you tell me the time?",request,you,communicate,time,validation
"Uh, i was just saying hi.",statement,me,communicate,none,validation
He's goin' to the car.,statement,other,move,car,train
Are you going to the depot?,question,you,move,unknown_concept,train
Talk slower please,request,you,communicate,none,train
They are setting the table.,statement,other,do,none,train
We go to the bus.,statement,me,move,bus,train
My dad is shopping.,statement,other,do,none,train
She is sad,statement,other,feel,sad,validation
Please spell it.,request,you,communicate,none,train
Are you mopping?,question,you,do,none,train
Do you need the microcontroller?,question,you,need,unknown_concept,validation
"I need phone, please",request,me,need,phone,train
I'd really appreciate some phone,request,me,need,phone,train
Are You all going to the office?,question,you,move,office,train
"Okay, i'm going to the station.",statement,me,move,unknown_concept,train
Is They cold,question,other,feel,cold,train
We're really tired.,statement,me,feel,tired,validation
Give me florn.,request,me,need,unknown_concept,test
We're heading to the school,statement,me,move,school,train
They don't need painkillers.,statement,other,need,painkillers,train
He needs a screwdriver.,statement,other,need,unknown_concept,test
"Well, they is heading to the car.",statement,other,move,car,validation
"Okay, your dad needs wallet.",statement,other,need,wallet,train
Are you goin' to the bus?,question,you,move,bus,validation
You showering?,question,you,do,none,train
"I need keys right now, please.",request,me,need,keys,train
We're going.,statement,me,move,none,train
Me don't need water,statement,me,need,water,train
Are you goin' to the garden?,question,you,move,garden,train
You need food.,statement,you,need,food,train
I think there's a bus nearby.,alert,me,danger,bus,train
I need bluewidget,request,me,need,unknown_concept,train
My dad doesn't need phone,statement,other,need,phone,train
You don't need phone,statement,you,need,phone,train
Not at all,statement,me,communicate,none,train
I need keys.,request,me,need,keys,train
He's going to finish this,statement,other,do,none,train
I'm moving,statement,me,move,none,validation
I'm cleaning up.,statement,me,do,none,train
"Um, i need bathroom.",request,me,need,bathroom,train
Let's go to the bus.,request,me,move,bus,train
She's going to check something.,statement,other,do,none,train
I need food.,request,me,need,food,train
We're not sure how I feel,statement,me,feel,none,train
Me am leaving.,statement,me,move,none,train
I'm not sick.,statement,me,feel,sick,train
My time is here.,statement,me,communicate,time,train
Please describe the room,request,you,communicate,none,train
Your dad is mopping,statement,other,do,none,train
Do you need the remote control?,question,you,need,unknown_concept,validation
"Uh, he is sorting mail.",statement,other,do,none,train
"Uh, we're walking to the train.",statement,me,move,train,train
Are You guys cold?,question,you,feel,cold,validation
We're not going to the office.,statement,me,move,office,train
Me don't need wallet.,statement,me,need,wallet,train
Glorp.,statement,me,communicate,unknown_concept,train
Your dad doesn't need keys,statement,other,need,keys,train
I'm going to the chapel,statement,me,move,unknown_concept,train
My mom is making tea,statement,other,do,none,train
Do you need the multimeter,question,you,need,unknown_concept,validation
Me am heading home.,statement,me,move,home,train
He is checking messages,statement,other,do,none,train
Me am going to the garden,statement,me,move,garden,train
Do you know where we are?,question,you,communicate,none,test
He needs snarple.,statement,other,need,unknown_concept,train
Me am not going to the home,statement,me,move,home,validation
"So, my dad is cooking.",statement,other,do,none,train
Are You guys going to the hospital,question,you,move,hospital,train
What was she working on?,question,other,do,none,train
She's close to the train.,alert,other,danger,train,train
My mom is gonna the office.,statement,other,move,office,train
Do You guys mind if I ask something,question,you,communicate,none,train
She is sick.,statement,other,feel,sick,train
"Uh, you need bathroom.",statement,you,need,bathroom,train
Me am not going to the train.,statement,me,move,train,test
"Stop right there, stairs.",alert,you,danger,stairs,test
"Well, we're walking to the car.",statement,me,move,car,train
Where is he going,question,other,move,none,train
There's a bus right in front of you,alert,you,danger,bus,train
I need hyperdrive,request,me,need,unknown_concept,train
He agrees,statement,other,communicate,none,train
D'you need anything?,question,you,need,none,train
Be careful of the train.,alert,you,danger,train,train
"So, i'm going to the clinic.",statement,me,move,unknown_concept,train
Your dad is heading to the school.,statement,other,move,school,test
They is gonna the hospital.,statement,other,move,hospital,train
"So, he is cold.",statement,other,feel,cold,train
My dad is heading to the office.,statement,other,move,office,train
There's a bus right in front of you.,alert,you,danger,bus,train
He's going to the pharmacy,statement,other,move,unknown_concept,train
"Uh, i'm a little cold.",statement,me,feel,cold,train
My name is here on this card,statement,me,communicate,name,train
I'm listening.,statement,me,communicate,none,train
Does My dad need wallet,question,other,need,wallet,train
I'm getting dressed,statement,me,do,none,train
Me need to go to the car.,statement,me,move,car,train
She is heading to the home.,statement,other,move,home,train
D'you want painkillers?,question,you,need,painkillers,train
We're not going to the train,statement,me,move,train,test
My dad is drawing.,statement,other,do,none,train
We go to the restaurant,statement,me,move,restaurant,train
He's goin' to the observatory.,statement,other,move,unknown_concept,train
You going to the bakery?,question,you,move,unknown_concept,train
Sure.,statement,me,communicate,none,train
Your dad is ironing.,statement,other,do,none,train
What is your father's time,question,you,communicate,time,train
Does My mom need medicine?,question,other,need,medicine,train
Do You all want wallet,question,you,need,wallet,train
I'm washing dishes,statement,me,do,none,train
Your dad agrees,statement,other,communicate,none,train
Now I understand,statement,me,communicate,none,train
"Um, i'm heading to florn.",statement,me,move,unknown_concept,test
"Um, i see a car ahead of you.",alert,me,danger,car,train
He is vacuuming.,statement,other,do,none,train
I want keys,request,me,need,keys,train
Are you gonna the office?,question,you,move,office,train
Your dad is sorting mail.,statement,other,do,none,train
"Um, he needs phone.",statement,other,need,phone,train
My mom doesn't need medicine.,statement,other,need,medicine,train
My dad is hot.,statement,other,feel,hot,validation
I'm goin' to the observatory.,statement,me,move,unknown_concept,train
"Well, i think there's a bus nearby.",alert,me,danger,bus,train
I'd like some water,request,me,need,water,test
I'm starting to feel sick,statement,me,feel,sick,train
Your dad doesn't need wallet,statement,other,need,wallet,train
My mom is writing.,statement,other,do,none,train
Me am walking to the school.,statement,me,move,school,train
He doesn't need medicine,statement,other,need,medicine,train
He's going to read for a while,statement,other,do,none,train
What's your dad's name?,question,you,communicate,name,train
Car?,question,me,communicate,car,train
"Um, are you still working?",question,you,do,none,train
"Stop, there's a stairs.",alert,you,danger,stairs,train
She is heading to the bus,statement,other,move,bus,train
We're reading,statement,me,do,none,test
He needs a wrench,statement,other,need,unknown_concept,test
Maybe,statement,me,communicate,none,train
I need bathroom.,request,me,need,bathroom,train
Do you have a moment,question,you,communicate,none,test
"Uh, he needs a screwdriver.",statement,other,need,unknown_concept,test
Are you gonna the library?,question,you,move,unknown_concept,train
I'm on a call,statement,me,do,none,train
I'm not gonna the school.,statement,me,move,school,train
Your dad needs keys,statement,other,need,keys,train
He needs bathroom,statement,other,need,bathroom,test
Where is he going?,question,other,move,none,train
We're gonna the restaurant.,statement,me,move,restaurant,train
Where is she going?,question,other,move,none,train
Give me the capacitor,request,me,need,unknown_concept,test
you want painkillers?,question,you,need,painkillers,train
What's my name,question,me,communicate,name,test
"So, my name is here.",statement,me,communicate,name,validation
We're tired.,statement,me,feel,tired,train
She needs something,statement,other,need,none,train
I am gonna read for a while.,statement,me,do,none,train
Me am gonna the school.,statement,me,move,school,train
They should watch out,alert,other,danger,none,train
Does They need food,question,other,need,food,validation
I'm taking a break.,statement,me,do,none,train
D'you understand me?,question,you,communicate,none,train
They are sorting mail.,statement,other,do,none,train
My mom is reading,statement,other,do,none,train
My mom is tired,statement,other,feel,tired,train
My dad is resting,statement,other,do,none,train
What do you want?,question,you,need,none,train
Your dad doesn't need bathroom,statement,other,need,bathroom,train
He's going to help you.,statement,other,do,none,train
There's a stairs ahead,alert,you,danger,stairs,train
You all don't need anything,statement,you,need,none,train
We're heading to the home,statement,me,move,home,train
See you later.,statement,me,communicate,none,train
She is going to the office.,statement,other,move,office,train
Mind the fire.,alert,you,danger,fire,train
Are you going to the restaurant?,question,you,move,restaurant,validation
They are unpacking,statement,other,do,none,train
My mom is goin' to the hospital.,statement,other,move,hospital,train
I'd like some keys.,request,me,need,keys,train
I'm gonna fix it.,statement,me,do,none,train
you need the charger cable?,question,you,need,unknown_concept,validation
I'm getting really happy.,statement,me,feel,happy,train
"Okay, i go to the office.",statement,me,move,office,validation
I'm walking,statement,me,do,none,train
She was cooking earlier.,statement,other,do,none,train
I'm going to the home,statement,me,move,home,test
Do you need bathroom?,question,you,need,bathroom,train
"Okay, my mom is organizing my things.",statement,other,do,none,train
I'm starting to feel tired,statement,me,feel,tired,train
I am going to figure this out,statement,me,do,none,train
Quombat.,statement,me,communicate,unknown_concept,train
You washing dishes?,question,you,do,none,train
My mom is going to the office,statement,other,move,office,train
I hear you,statement,me,communicate,none,train
I'm unpacking,statement,me,do,none,train
How are you feeling,question,you,feel,none,train
"Okay, he's going to the home.",statement,other,move,home,test
He is going to the hospital,statement,other,move,hospital,train
I'm getting really sick.,statement,me,feel,sick,validation
We're working,statement,me,do,none,train
She's gonna wait here.,statement,other,do,none,train
Watch out for the train,alert,you,danger,train,train
Are You guys happy,question,you,feel,happy,train
Would You all like bathroom,question,you,need,bathroom,train
Sick?,question,me,communicate,sick,train
I want phone.,request,me,need,phone,train
Me want to go to the home,statement,me,move,home,train
"So, are you checking messages?",question,you,do,none,train
Me need to go to the car,statement,me,move,car,train
He needs quombat.,statement,other,need,unknown_concept,train
I am going to wait here.,statement,me,do,none,train
"So, are you still there?",question,you,communicate,none,train
Hospital.,statement,me,communicate,hospital,train
Me really need keys.,request,me,need,keys,train
She is washing dishes.,statement,other,do,none,train
I'm sweeping.,statement,me,do,none,train
They are walking.,statement,other,do,none,train
What is My dad doing,question,other,do,none,train
The fenwick device.,statement,me,communicate,unknown_concept,train
My dad is leaving.,statement,other,move,none,train
Bathroom.,statement,me,communicate,bathroom,train
We're heading to the garden,statement,me,move,garden,train
We're heading to the hospital,statement,me,move,hospital,train
Does She need bathroom,question,other,need,bathroom,train
He's going to the chapel,statement,other,move,unknown_concept,train
My mom is making tea.,statement,other,do,none,train
"So, do you need the power bank?",question,you,need,unknown_concept,validation
Come here,request,you,move,none,train
"So, we're not going to the hospital.",statement,me,move,hospital,train
We're gonna the garden.,statement,me,move,garden,train
Would You guys like water,question,you,need,water,train
Nice to meet you,statement,me,communicate,none,train
Do You guys want painkillers,question,you,need,painkillers,train
Your dad is heading to the office.,statement,other,move,office,train
He's gonna the hospital.,statement,other,move,hospital,validation
Your dad is heading to the restaurant.,statement,other,move,restaurant,train
"Well, i'm heading to the garden.",statement,me,move,garden,train
Me am heading to the car,statement,me,move,car,train
Your dad is cleaning.,statement,other,do,none,train
D'you need the screwdriver?,question,you,need,unknown_concept,validation
"Okay, i need painkillers, please.",request,me,need,painkillers,test
My mom is going to the bus.,statement,other,move,bus,train
Are You all tired?,question,you,feel,tired,train
"Um, me am not sure how I feel.",statement,me,feel,none,train
I'm a little cold.,statement,me,feel,cold,train
"So, does My dad need medicine?",question,other,need,medicine,train
Your dad is confused.,statement,other,communicate,none,train
She is walking,statement,other,do,none,train
She needs wallet,statement,other,need,wallet,train
We're going to the home.,statement,me,move,home,test
"Okay, is They sad?",question,other,feel,sad,train
He's goin' to the gym.,statement,other,move,unknown_concept,train
Your dad needs medicine,statement,other,need,medicine,train
Would you mind getting my painkillers,request,you,need,painkillers,test
I don't know,statement,me,communicate,none,train
We go to the car.,statement,me,move,car,validation
"So, we're heading to the restaurant.",statement,me,move,restaurant,train
They is heading to the garden.,statement,other,move,garden,train
I'm leaving.,statement,me,move,none,train
Do you remember my name,question,you,communicate,name,train
Thank you.,statement,me,communicate,none,train
He's going to try again,statement,other,do,none,train
He's going to the bus.,statement,other,move,bus,train
Does Your dad need phone?,question,other,need,phone,train
Be careful.,alert,you,danger,none,train
They are writing,statement,other,do,none,train
Where's my bathroom? I need it,request,me,need,bathroom,train
"Sorry, what?",question,you,communicate,none,train
Would you mind getting my bathroom?,request,you,need,bathroom,train
"So, i need phone, please.",request,me,need,phone,train
"Um, are you going to zibbit?",question,you,move,unknown_concept,train
She is leaving.,statement,other,move,none,train
"Well, would You guys like something?",question,you,need,none,train
Could I have some wallet?,request,me,need,wallet,train
My dad is vacuuming,statement,other,do,none,train
Me am not going anywhere.,statement,me,move,none,train
Does He need wallet?,question,other,need,wallet,train
Turn right.,request,you,move,right,train
My dad is ironing.,statement,other,do,none,train
"Well, your dad should watch out.",alert,other,danger,none,train
She should watch out,alert,other,danger,none,train
Me am not tired,statement,me,feel,tired,train
"One more time, please",request,you,communicate,none,train
I'm not goin' to the office.,statement,me,move,office,train
They is heading to the school.,statement,other,move,school,test
Your dad is going to the train.,statement,other,move,train,train
Please introduce yourself,request,you,communicate,none,train
Does She need bathroom?,question,other,need,bathroom,train
"Uh, which one, yes or no?",question,you,communicate,none,train
My dad said hello,statement,other,communicate,none,train
Are you goin' to the school?,question,you,move,school,train
Take me to the home.,request,me,move,home,train
I want medicine.,request,me,need,medicine,train
Are you going to the airport?,question,you,move,unknown_concept,train
They are watching something,statement,other,do,none,train
Bathroom,statement,me,communicate,bathroom,train
He's going to the studio.,statement,other,move,unknown_concept,train
They isn't hot,statement,other,feel,hot,train
Is he okay,question,other,feel,none,train
Are You all going to the car?,question,you,move,car,train
Medicine.,statement,me,communicate,medicine,train
We're walking to the train.,statement,me,move,train,train
Go to the car.,request,you,move,car,train
Car coming your way,alert,you,danger,car,train
What did My mom say,question,other,communicate,none,validation
You're right.,statement,me,communicate,none,train
How is she,question,other,feel,none,train
What's my time,question,me,communicate,time,test
"Okay, are you shopping?",question,you,do,none,train
"Low ceiling ahead, duck",alert,you,danger,none,train
Is now okay,question,you,communicate,none,test
They are listening to something.,statement,other,do,none,train
you need medicine?,question,you,need,medicine,train
They don't need medicine.,statement,other,need,medicine,train
You don't need medicine.,statement,you,need,medicine,train
My mom is singing.,statement,other,do,none,train
I am going to rest for a bit,statement,me,do,none,train
What is his time?,question,other,communicate,time,train
He's going to the home,statement,other,move,home,test
Are You guys gonna the train?,question,you,move,train,train
"Uh, tell Your dad to be careful.",alert,other,danger,none,train
We're heading to the restaurant.,statement,me,move,restaurant,train
Water?,question,me,communicate,water,train
"Okay, i feel happy.",statement,me,feel,happy,train
I'm starting to feel tired.,statement,me,feel,tired,train
Where are you going?,question,you,move,none,train
She is going to the car.,statement,other,move,car,train
I'd really appreciate some phone.,request,me,need,phone,train
"Well, me want bathroom.",request,me,need,bathroom,train
Me need something,request,me,need,none,train
Me am happy,statement,me,feel,happy,test
I see a bus ahead of you,alert,me,danger,bus,train
Your dad is heading to the hospital.,statement,other,move,hospital,train
"Okay, would You all like food?",question,you,need,food,train
She is resting,statement,other,do,none,train
He is sad.,statement,other,feel,sad,validation
"Okay, they isn't happy.",statement,other,feel,happy,validation
Give me my phone,request,me,need,phone,train
We're low on wallet,statement,me,need,wallet,validation
How you doing,question,you,feel,none,train
Could I get wallet?,request,me,need,wallet,train
They should watch out.,alert,other,danger,none,train
"Uh, i'm going to ask him.",statement,me,do,none,train
I need an adapter.,request,me,need,unknown_concept,train
Me am not gonna the car.,statement,me,move,car,validation
They disagree.,statement,other,communicate,none,validation
Take me to the car.,request,me,move,car,train
We want to go to the home.,statement,me,move,home,train
We're not going to the train.,statement,me,move,train,test
He is exercising,statement,other,do,none,train
She is listening to something.,statement,other,do,none,train
Please use simpler words,request,you,communicate,none,train
"Okay, where's the medicine?",question,you,need,medicine,train
They is goin' to the school.,statement,other,move,school,train
My dad needs medicine,statement,other,need,medicine,train
They need keys.,statement,other,need,keys,train
He's gonna the restaurant.,statement,other,move,restaurant,train
Can you grab my bathroom,request,you,need,bathroom,train
Where's the food?,question,you,need,food,train
Me am not cold,statement,me,feel,cold,train
Bus,statement,me,communicate,bus,train
You going to glorp?,question,you,move,unknown_concept,train
"Uh, do you need hyperdrive?",question,you,need,unknown_concept,test
My mom is writing,statement,other,do,none,train
Are You all goin' to the home?,question,you,move,home,test
Are you goin' to the train?,question,you,move,train,train
We're really sick.,statement,me,feel,sick,train
My mom isn't happy,statement,other,feel,happy,validation
Be careful,alert,you,danger,none,train
"Well, i really need food.",request,me,need,food,test
you need florn?,question,you,need,unknown_concept,test
He needs painkillers,statement,other,need,painkillers,train
We're going to the home,statement,me,move,home,test
I'm starting to feel sick.,statement,me,feel,sick,train
I'm goin' to the library.,statement,me,move,unknown_concept,train
They are painting,statement,other,do,none,train
"Okay, i'd really appreciate some wallet.",request,me,need,wallet,validation
"Um, let's go to the office.",request,me,move,office,train
He needs a extension cord.,statement,other,need,unknown_concept,test
You guys don't need food.,statement,you,need,food,test
"Well, they isn't going anywhere.",statement,other,move,none,train
Do You all want something?,question,you,need,none,train
Your dad is going to the school.,statement,other,move,school,train
Makes no sense,statement,me,communicate,none,train
My dad needs keys,statement,other,need,keys,train
Is My dad okay,question,other,feel,none,train
There's a train on your left,alert,you,danger,train,test
He's goin' to the warehouse.,statement,other,move,unknown_concept,train
Me need painkillers,request,me,need,painkillers,validation
That's not right,statement,me,communicate,none,train
We're moving,statement,me,move,none,validation
"Okay, i'm not going to the restaurant.",statement,me,move,restaurant,train
Your dad is charging my phone.,statement,other,do,none,train
You guys don't need medicine.,statement,you,need,medicine,train
Name,statement,me,communicate,name,train
"Um, are You guys going to the home?",question,you,move,home,test
We're standing,statement,me,do,none,train
Can you help?,request,you,communicate,none,train
He's going to call you back,statement,other,do,none,train
"Okay, my dad is stretching.",statement,other,do,none,train
She's going to figure this out.,statement,other,do,none,train
I'm gonna the office.,statement,me,move,office,train
I'm gonna the park.,statement,me,move,unknown_concept,train
He needs a resistor,statement,other,need,unknown_concept,test
We want to go to the school,statement,me,move,school,train
Office.,statement,me,communicate,office,train
We're really hot.,statement,me,feel,hot,train
You don't need painkillers,statement,you,need,painkillers,train
My dad is exercising,statement,other,do,none,train
Let's go to the school.,request,me,move,school,train
We're going to the garden,statement,me,move,garden,train
He is making coffee,statement,other,do,none,train
We want something,request,me,need,none,validation
"So, they're almost done.",statement,other,do,none,train
She's going to try again.,statement,other,do,none,train
I'm really sick.,statement,me,feel,sick,train
He's gonna look into it.,statement,other,do,none,train
My dad is packing.,statement,other,do,none,train
Tell they to be careful.,alert,other,danger,none,train
She is cooking,statement,other,do,none,train
What did Your dad do,question,other,do,none,train
Fire.,statement,me,communicate,fire,train
Time,statement,me,communicate,time,test
My dad needs wallet,statement,other,need,wallet,train
"Um, listen to me.",request,you,communicate,none,train
"Um, are you stretching?",question,you,do,none,train
"Well, give me the painkillers.",request,me,need,painkillers,train
Where's the wallet,question,you,need,wallet,train
We're going to the school,statement,me,move,school,train
Well done,statement,me,communicate,none,train
They needs painkillers.,statement,other,need,painkillers,train
You all aren't hot,statement,you,feel,hot,train
"Uh, we want to go to the restaurant.",statement,me,move,restaurant,test
Do you need the transistor,question,you,need,unknown_concept,validation
You sad?,question,you,feel,sad,train
Do you need water,question,you,need,water,train
She is resting.,statement,other,do,none,train
"Careful, uneven ground.",alert,you,danger,none,train
I'm dancing.,statement,me,do,none,train
Home?,question,me,communicate,home,validation
We don't need food.,statement,me,need,food,train
"Um, you don't need phone.",statement,you,need,phone,train
We need food,request,me,need,food,train
I'm sorting mail,statement,me,do,none,train
you need the circuit board?,question,you,need,unknown_concept,validation
My dad needs bathroom.,statement,other,need,bathroom,test
I'm going to read for a while,statement,me,do,none,train
He is heading to the garden,statement,other,move,garden,train
He's fixing something.,statement,other,do,none,train
We don't need wallet.,statement,me,need,wallet,train
Me go to the car.,statement,me,move,car,validation
I'm putting things away.,statement,me,do,none,train
You all need medicine.,statement,you,need,medicine,train
Is Your dad tired?,question,other,feel,tired,train
Me am not sick.,statement,me,feel,sick,train
He is writing,statement,other,do,none,train
You need something.,statement,you,need,none,train
Try doing it this way,request,you,do,none,test
"We need something, please.",request,me,need,none,train
They are making tea.,statement,other,do,none,train
Your dad isn't happy,statement,other,feel,happy,validation
He is gonna the train.,statement,other,move,train,train
We want to go to the garden.,statement,me,move,garden,train
We're walking to the restaurant.,statement,me,move,restaurant,train
He is going to the home.,statement,other,move,home,train
He's gonna the clinic.,statement,other,move,unknown_concept,train
She is heading to the car,statement,other,move,car,validation
He's gonna the park.,statement,other,move,unknown_concept,train
D'you need the remote control?,question,you,need,unknown_concept,validation
Are you dancing?,question,you,do,none,train
Are You all goin' to the restaurant?,question,you,move,restaurant,validation
He's goin' to the chapel.,statement,other,move,unknown_concept,train
My mom is heading to the school.,statement,other,move,school,test
Do you know what time it is,question,you,communicate,time,validation
Squeeze my hand if yes.,request,you,communicate,none,train
Your dad is cold.,statement,other,feel,cold,train
I'm not sure how I feel,statement,me,feel,none,train
She is gonna the train.,statement,other,move,train,train
Does He need phone?,question,other,need,phone,train
I'm heading to the restaurant.,statement,me,move,restaurant,train
Crossing is not clear yet,alert,you,danger,none,train
Give me the keys.,request,me,need,keys,train
We wanna go to the home.,statement,me,move,home,train
Come again?,question,you,communicate,none,train
She's going to call you back.,statement,other,do,none,train
My dad is goin' to the train.,statement,other,move,train,train
They are sorting mail,statement,other,do,none,train
Cold.,statement,me,communicate,cold,train
He's goin' to the airport.,statement,other,move,unknown_concept,train
Are you cleaning,question,you,do,none,test
I'm going to the station,statement,me,move,unknown_concept,train
"Uh, we want painkillers.",request,me,need,painkillers,train
My dad is heading to the school,statement,other,move,school,test
She isn't sick,statement,other,feel,sick,train
My mom is heading to the car,statement,other,move,car,validation
Would You guys like bathroom,question,you,need,bathroom,train
He needs a capacitor,statement,other,need,unknown_concept,test
That's not right.,statement,me,communicate,none,train
Go ahead,request,you,communicate,none,train
"Well, what did you do?",question,you,do,none,train
Your dad is gonna the home.,statement,other,move,home,train
Hand me my painkillers,request,me,need,painkillers,train
